Last updated: 2025-10-23 08:16
Bitcoin: 3QjWqhQbHdHgWeYHTpmorP8Pe1wgDjJy54


ETH address: 0x01d23570c34A78380452A4BE9C95bAe439719bAf


+------+-------------------------------------+-------------+
|      | github_username                     |   CVE_count |
|  221 | jiansiting                          |           9 |
|  222 | Stuub                               |           9 |
|  223 | th3gokul                            |           9 |
|  224 | numanturle                          |           9 |
|  225 | ersinerenler                        |           9 |
|  226 | punitdarji                          |           8 |
|  227 | 1337g                               |           8 |
|  228 | shinyColumn                         |           8 |
|  229 | JawadPy                             |           8 |
|  230 | PyterSmithDarkGhost                 |           8 |
|  231 | X-Projetion                         |           8 |
|  232 | amalpvatayam67                      |           8 |
|  233 | pizza-power                         |           8 |
|  234 | pinpinsec                           |           8 |
|  235 | masahiro331                         |           8 |
|  236 | michalbednarski                     |           8 |
|  237 | SUPRAAA-1337                        |           8 |
|  238 | veritas501                          |           8 |
|  239 | ly4k                                |           8 |
|  240 | NotItsSixtyN3in                     |           8 |
|  241 | yaunsky                             |           8 |
|  242 | edsonjt81                           |           8 |
|  243 | DRAGOWN                             |           8 |
|  244 | itssixtyn3in                        |           8 |
|  245 | shubham0d                           |           8 |
|  246 | Ridter                              |           8 |
|  247 | Sachinart                           |           8 |
|  248 | andripwn                            |           8 |
|  249 | exploitwritter                      |           8 |
|  250 | TaroballzChen                       |           8 |
|  251 | chenaotian                          |           8 |
|  252 | superzerosec                        |           8 |
|  253 | scabench                            |           8 |
|  254 | hktalent                            |           8 |
|  255 | fengjixuchui                        |           8 |
|  256 | random-robbie                       |           8 |
|  257 | sealldeveloper                      |           8 |
|  258 | tarantula-team                      |           8 |
|  259 | Y4er                                |           8 |
|  260 | leekenghwa                          |           8 |
|  261 | ASkyeye                             |           8 |
|  262 | McTavishSue                         |           8 |
|  263 | ohnonoyesyes                        |           8 |
|  264 | C1ph3rX13                           |           8 |
|  265 | pouriam23                           |           8 |
|  266 | h3v0x                               |           8 |
|  267 | Inplex-sys                          |           8 |
|  268 | ze0r                                |           8 |
|  269 | nobodyatall648                      |           8 |
|  270 | hessandrew                          |           8 |
|  271 | zhzyker                             |           8 |
|  272 | Avento                              |           8 |
|  273 | brokendreamsclub                    |           8 |
|  274 | Immersive-Labs-Sec                  |           8 |
|  275 | KosukeShimofuji                     |           7 |
|  276 | sandi-go                            |           7 |
|  277 | ill-deed                            |           7 |
|  278 | Y3A                                 |           7 |
|  279 | YongYe-Security                     |           7 |
|  280 | LucasPDiniz                         |           7 |
|  281 | r00t4dm                             |           7 |
|  282 | B1anda0                             |           7 |
|  283 | imhunterand                         |           7 |
|  284 | yoryio                              |           7 |
|  285 | momika233                           |           7 |
|  286 | amitlttwo                           |           7 |
|  287 | faisalfs10x                         |           7 |
|  288 | ComparedArray                       |           7 |
|  289 | ynsmroztas                          |           7 |
|  290 | fortra                              |           7 |
|  291 | miko550                             |           7 |
|  292 | AhmedMansour93                      |           7 |
|  293 | ewilded                             |           7 |
|  294 | mnqazi                              |           7 |
|  295 | febinrev                            |           7 |
|  296 | forse01                             |           7 |
|  297 | 200101WhoAmI                        |           7 |
|  298 | TAM-K592                            |           7 |
|  299 | RashidKhanPathan                    |           7 |
|  300 | BishopFox                           |           7 |
|  301 | MarioTesoro                         |           7 |
|  302 | Jansen-C-Moreira                    |           7 |
|  303 | dollarboysushil                     |           7 |
|  304 | lolminerxmrig                       |           7 |
|  305 | JAckLosingHeart                     |           7 |
|  306 | InfoSec4Fun                         |           7 |
|  307 | Snorlyd                             |           7 |
|  308 | anldori                             |           7 |
|  309 | pyn3rd                              |           7 |
|  310 | letsr00t                            |           7 |
|  311 | V3x0r                               |           7 |
|  312 | Trackflaw                           |           7 |
|  313 | cnetsec                             |           7 |
|  314 | wh-gov                              |           7 |
|  315 | EkamSinghWalia                      |           7 |
|  316 | kodaichodai                         |           7 |
|  317 | s-index                             |           7 |
|  318 | 0xf4n9x                             |           7 |
|  319 | overgrowncarrot1                    |           7 |
|  320 | sug4r-wr41th                        |           7 |
|  321 | kljunowsky                          |           7 |
|  322 | Aakashmom                           |           7 |
|  323 | KaLendsi                            |           7 |
|  324 | FoxyProxys                          |           7 |
|  325 | fuzzlove                            |           7 |
|  326 | opsxcq                              |           7 |
|  327 | shamo0                              |           7 |
|  328 | shanika04                           |           7 |
|  329 | emad-almousa                        |           7 |
|  330 | G4sp4rCS                            |           7 |
|  331 | armaansidana2003                    |           7 |
|  332 | sharmasandeepkr                     |           7 |
|  333 | 0x0000000000-03                     |           7 |
|  334 | Arajawat007                         |           7 |
|  335 | r3dxpl0it                           |           7 |
|  336 | avboy1337                           |           7 |
|  337 | vulncheck-oss                       |           7 |
|  338 | nidhihcl75                          |           7 |
|  339 | Fa1c0n35                            |           7 |
|  340 | 0xsu3ks                             |           7 |
|  341 | giovannipajeu1                      |           7 |
|  342 | rwincey                             |           6 |
|  343 | TheCyberGeek                        |           6 |
|  344 | Mattb709                            |           6 |
|  345 | nak000                              |           6 |
|  346 | Mahesh-970                          |           6 |
|  347 | rockmelodies                        |           6 |
|  348 | TheRedDevil1                        |           6 |
|  349 | Thewhiteevil                        |           6 |
|  350 | Redfox-Security                     |           6 |
|  351 | Redfox-Secuirty                     |           6 |
|  352 | S1lkys                              |           6 |
|  353 | NHPT                                |           6 |
|  354 | nika0x38                            |           6 |
|  355 | MooseLoveti                         |           6 |
|  356 | safe3s                              |           6 |
|  357 | pentestfunctions                    |           6 |
|  358 | Security-AVS                        |           6 |
|  359 | r0binak                             |           6 |
|  360 | TheJoyOfHacking                     |           6 |
|  361 | BugBountyHunterCVE                  |           6 |
|  362 | cybersecurityworks553               |           6 |
|  363 | tansique-17                         |           6 |
|  364 | ubaydev                             |           6 |
|  365 | und3sc0n0c1d0                       |           6 |
|  366 | d3fudd                              |           6 |
|  367 | 0x0d3ad                             |           6 |
|  368 | ibrahimsql                          |           6 |
|  369 | zcgonvh                             |           6 |
|  370 | tamirzb                             |           6 |
|  371 | 0xStarFord                          |           6 |
|  372 | imjdl                               |           6 |
|  373 | FlojBoj                             |           6 |
|  374 | Freax13                             |           6 |
|  375 | FredBrave                           |           6 |
|  376 | freeide                             |           6 |
|  377 | killvxk                             |           6 |
|  378 | cli-ish                             |           6 |
|  379 | g-rubert                            |           6 |
|  380 | tristao-io                          |           6 |
|  381 | fazilbaig1                          |           6 |
|  382 | junnythemarksman                    |           6 |
|  383 | wsfengfan                           |           6 |
|  384 | dja2TaqkGEEfA45                     |           6 |
|  385 | 0xAgun                              |           6 |
|  386 | 0xAbbarhSF                          |           6 |
|  387 | DarkSprings                         |           6 |
|  388 | tin-z                               |           6 |
|  389 | timwr                               |           6 |
|  390 | zetraxz                             |           6 |
|  391 | tristao-marinho                     |           6 |
|  392 | dkstar11q                           |           6 |
|  393 | irsl                                |           6 |
|  394 | ArtemCyberLab                       |           6 |
|  395 | Anonymous-Family                    |           6 |
|  396 | DownWithUp                          |           6 |
|  397 | exfil0                              |           6 |
|  398 | zhuowei                             |           6 |
|  399 | ELIZEUOPAIN                         |           6 |
|  400 | exploitblizzard                     |           6 |
|  401 | fairyming                           |           6 |
|  402 | faizzaidi                           |           6 |
|  403 | honypot                             |           6 |
|  404 | D3Ext                               |           6 |
|  405 | cckuailong                          |           6 |
|  406 | adenkiewicz                         |           6 |
|  407 | badboycxcc                          |           6 |
|  408 | JohnnyBradvo                        |           6 |
|  409 | Jun-5heng                           |           6 |
|  410 | 0xxon                               |           6 |
|  411 | Le1a                                |           6 |
|  412 | ar2o3                               |           6 |
|  413 | grupooruss                          |           6 |
|  414 | BKreisel                            |           6 |
|  415 | seqred-s-a                          |           6 |
|  416 | LOURC0D3                            |           6 |
|  417 | milo2012                            |           6 |
|  418 | securekomodo                        |           6 |
|  419 | secunnix                            |           6 |
|  420 | h4x0r-dz                            |           6 |
|  421 | AlexDoe11                           |           6 |
|  422 | lsw29475                            |           6 |
|  423 | gotr00t0day                         |           6 |
|  424 | IOActive                            |           6 |
|  425 | callinston                          |           6 |
|  426 | AssassinUKG                         |           6 |
|  427 | saykino                             |           6 |
|  428 | HyHy100                             |           6 |
|  429 | 0xhaggis                            |           6 |
|  430 | mrmtwoj                             |           6 |
|  431 | yosef0x01                           |           6 |
|  432 | bughuntar                           |           6 |
|  433 | hh-hunter                           |           6 |
|  434 | bongbongco                          |           6 |
|  435 | lisinan988                          |           6 |
|  436 | LongWayHomie                        |           6 |
|  437 | Pushkarup                           |           5 |
|  438 | CyprianAtsyor                       |           5 |
|  439 | AxthonyV                            |           5 |
|  440 | Nithisssh                           |           5 |
|  441 | vpxuser                             |           5 |
|  442 | waleedassar                         |           5 |
|  443 | CyberQuestor-infosec                |           5 |
|  444 | w4fz5uck5                           |           5 |
|  445 | rasan2001                           |           5 |
|  446 | PetrusViet                          |           5 |
|  447 | Pazhanivelmani                      |           5 |
|  448 | vnik5287                            |           5 |
|  449 | BomberFish                          |           5 |
|  450 | raymontag                           |           5 |
|  451 | CERTologists                        |           5 |
|  452 | sanjai-AK47                         |           5 |
|  453 | ExploitCN                           |           5 |
|  454 | NingXin2002                         |           5 |
|  455 | skrkcb2                             |           5 |
|  456 | sxyrxyy                             |           5 |
|  457 | sv3nbeast                           |           5 |
|  458 | spyata123                           |           5 |
|  459 | HuskyHacks                          |           5 |
|  460 | MateusTesser                        |           5 |
|  461 | snappyJack                          |           5 |
|  462 | ImuSpirit                           |           5 |
|  463 | sUbc0ol                             |           5 |
|  464 | JaneMandy                           |           5 |
|  465 | NatteeSetobol                       |           5 |
|  466 | MalwareTech                         |           5 |
|  467 | Akhlak2511                          |           5 |
|  468 | sfewer-r7                           |           5 |
|  469 | Lay0us                              |           5 |
|  470 | LazyySec                            |           5 |
|  471 | M4fiaB0y                            |           5 |
|  472 | sanan2004                           |           5 |
|  473 | LucaBarile                          |           5 |
|  474 | Abo5                                |           5 |
|  475 | szymonh                             |           5 |
|  476 | t0kx                                |           5 |
|  477 | FzBacon                             |           5 |
|  478 | DXY0411                             |           5 |
|  479 | NanoWraith                          |           5 |
|  480 | ticofookfook                        |           5 |
|  481 | Ant1sec-ops                         |           5 |
|  482 | Mustafa1986                         |           5 |
|  483 | DreamoneOnly                        |           5 |
|  484 | theexploiters                       |           5 |
|  485 | EXP-Docs                            |           5 |
|  486 | Ekultek                             |           5 |
|  487 | EmreOvunc                           |           5 |
|  488 | Muhammad-Ali007                     |           5 |
|  489 | xbz0n                               |           5 |
|  490 | Eyodav                              |           5 |
|  491 | tangxiaofeng7                       |           5 |
|  492 | Mr-r00t11                           |           5 |
|  493 | tandasat                            |           5 |
|  494 | MinoTauro2020                       |           5 |
|  495 | Pwdnx1337                           |           5 |
|  496 | hakivvi                             |           5 |
|  497 | 0xkami                              |           5 |
|  498 | z92g                                |           5 |
|  499 | labesterOct                         |           5 |
|  500 | 0xeb-bp                             |           5 |
|  501 | laginimaineb                        |           5 |
|  502 | btar1gan                            |           5 |
|  503 | lirantal                            |           5 |
|  504 | louiselalanne                       |           5 |
|  505 | bcdannyboy                          |           5 |
|  506 | 0xrobiul                            |           5 |
|  507 | lyy289065406                        |           5 |
|  508 | yuriisanin                          |           5 |
|  509 | m3m0o                               |           5 |
|  510 | maikroservice                       |           5 |
|  511 | yukar1z0e                           |           5 |
|  512 | aodsec                              |           5 |
|  513 | mbanyamer                           |           5 |
|  514 | amit-pathak009                      |           5 |
|  515 | allinsthon                          |           5 |
|  516 | aleongx                             |           5 |
|  517 | ajansha                             |           5 |
|  518 | mkelepce                            |           5 |
|  519 | monke443                            |           5 |
|  520 | ynwarcs                             |           5 |
|  521 | Zeyad-Azima                         |           5 |
|  522 | ZecOps                              |           5 |
|  523 | Z3R0-0x30                           |           5 |
|  524 | 34zY                                |           5 |
|  525 | Wrin9                               |           5 |
|  526 | WOOOOONG                            |           5 |
|  527 | VoidSec                             |           5 |
|  528 | l0n3m4n                             |           5 |
|  529 | cve-2024                            |           5 |
|  530 | UNICORDev                           |           5 |
|  531 | karlemilnikka                       |           5 |
|  532 | hatvix1                             |           5 |
|  533 | gregk4sec                           |           5 |
|  534 | gquere                              |           5 |
|  535 | givemefivw                          |           5 |
|  536 | gergelykalman                       |           5 |
|  537 | galoget                             |           5 |
|  538 | hupe1980                            |           5 |
|  539 | flux10n                             |           5 |
|  540 | ifconfig-me                         |           5 |
|  541 | fi01                                |           5 |
|  542 | feliam                              |           5 |
|  543 | fatkz                               |           5 |
|  544 | 0x7eTeam                            |           5 |
|  545 | iteride                             |           5 |
|  546 | ivanitlearning                      |           5 |
|  547 | j3r1ch0123                          |           5 |
|  548 | 0xBl4nk                             |           5 |
|  549 | eastmountyxz                        |           5 |
|  550 | jamf                                |           5 |
|  551 | duy-31                              |           5 |
|  552 | jfrog                               |           5 |
|  553 | jhonnybonny                         |           5 |
|  554 | ditekshen                           |           5 |
|  555 | dileepdkumar                        |           5 |
|  556 | diego-tella                         |           5 |
|  557 | demining                            |           5 |
|  558 | jweny                               |           5 |
|  559 | k3lpi3b4nsh33                       |           5 |
|  560 | 0xSojalSec                          |           5 |
|  561 | V35HR4J                             |           5 |
|  562 | webraybtl                           |           5 |
|  563 | RonF98                              |           5 |
|  564 | p1ckzi                              |           5 |
|  565 | oneoy                               |           5 |
|  566 | TanveerS1ngh                        |           5 |
|  567 | 9lyph                               |           5 |
|  568 | pxcs                                |           5 |
|  569 | RootHarpy                           |           5 |
|  570 | partywavesec                        |           5 |
|  571 | ps-interactive                      |           5 |
|  572 | Rubikcuv5                           |           5 |
|  573 | p0et08                              |           5 |
|  574 | pwndorei                            |           5 |
|  575 | ShadowByte1                         |           5 |
|  576 | pwn3z                               |           5 |
|  577 | Thirukrishnan                       |           5 |
|  578 | websecnl                            |           5 |
|  579 | thomas-osgood                       |           4 |
|  580 | thewhiteh4t                         |           4 |
|  581 | itsjeffersonli                      |           4 |
|  582 | dievus                              |           4 |
|  583 | Dodge-MPTC                          |           4 |
|  584 | redteambrasil                       |           4 |
|  585 | dinosn                              |           4 |
|  586 | redrays-io                          |           4 |
|  587 | RickGeex                            |           4 |
|  588 | realcodeb0ss                        |           4 |
|  589 | drkbcn                              |           4 |
|  590 | jax7sec                             |           4 |
|  591 | DavidBuchanan314                    |           4 |
|  592 | theori-io                           |           4 |
|  593 | rbowes-r7                           |           4 |
|  594 | DShankle                            |           4 |
|  595 | trganda                             |           4 |
|  596 | pulentoski                          |           4 |
|  597 | tr1pl3ight                          |           4 |
|  598 | ManhNDd                             |           4 |
|  599 | Drew-Alleman                        |           4 |
|  600 | devengpk                            |           4 |
|  601 | daryllundy                          |           4 |
|  602 | cube0x0                             |           4 |
|  603 | Nicoslo                             |           4 |
|  604 | karthi-the-hacker                   |           4 |
|  605 | ForceFledgling                      |           4 |
|  606 | SecNN                               |           4 |
|  607 | kal1gh0st                           |           4 |
|  608 | kailing0220                         |           4 |
|  609 | k3rwin                              |           4 |
|  610 | pimps                               |           4 |
|  611 | tcbutler320                         |           4 |
|  612 | tea9                                |           4 |
|  613 | darrenmartyn                        |           4 |
|  614 | Rvn0xsy                             |           4 |
|  615 | datntsec                            |           4 |
|  616 | emanueldosreis                      |           4 |
|  617 | julienbrs                           |           4 |
|  618 | dcm2406                             |           4 |
|  619 | js-on                               |           4 |
|  620 | jprx                                |           4 |
|  621 | theLSA                              |           4 |
|  622 | Edwins907                           |           4 |
|  623 | Edgarloyola                         |           4 |
|  624 | defrancescojp                       |           4 |
|  625 | delsploit                           |           4 |
|  626 | reewardius                          |           4 |
|  627 | jongmartinez                        |           4 |
|  628 | thefizzyfish                        |           4 |
|  629 | thelostworldFree                    |           4 |
|  630 | Cythonic1                           |           4 |
|  631 | ishwardeepp                         |           4 |
|  632 | embedi                              |           4 |
|  633 | RedyOpsResearchLabs                 |           4 |
|  634 | ByteHackr                           |           4 |
|  635 | BwithE                              |           4 |
|  636 | houseofxyz                          |           4 |
|  637 | hook-s3c                            |           4 |
|  638 | r0xdeadbeef                         |           4 |
|  639 | vidura2                             |           4 |
|  640 | vigilante-1337                      |           4 |
|  641 | getdrive                            |           4 |
|  642 | R0rt1z2                             |           4 |
|  643 | gobysec                             |           4 |
|  644 | godylockz                           |           4 |
|  645 | r0lh                                |           4 |
|  646 | greandfather                        |           4 |
|  647 | vysecurity                          |           4 |
|  648 | R0B1NL1N                            |           4 |
|  649 | guillermogm4                        |           4 |
|  650 | BTtea                               |           4 |
|  651 | haxrob                              |           4 |
|  652 | gyaansastra                         |           4 |
|  653 | BBD-YZZ                             |           4 |
|  654 | hax3xploit                          |           4 |
|  655 | Quantum-Hacker                      |           4 |
|  656 | h4xnz                               |           4 |
|  657 | hacefresko                          |           4 |
|  658 | hackintoanetwork                    |           4 |
|  659 | Axx8                                |           4 |
|  660 | halencarjunior                      |           4 |
|  661 | vesperp                             |           4 |
|  662 | Pro-me3us                           |           4 |
|  663 | g1vi                                |           4 |
|  664 | tzwlhack                            |           4 |
|  665 | khoatran107                         |           4 |
|  666 | ioncodes                            |           4 |
|  667 | expl0itsecurity                     |           4 |
|  668 | Cyber-Wo0dy                         |           4 |
|  669 | Cyb3rEnthusiast                     |           4 |
|  670 | tuo4n8                              |           4 |
|  671 | CsEnox                              |           4 |
|  672 | exploits-forsale                    |           4 |
|  673 | infobyte                            |           4 |
|  674 | famixcm                             |           4 |
|  675 | farisv                              |           4 |
|  676 | Pastea                              |           4 |
|  677 | ubaii                               |           4 |
|  678 | qiantu88                            |           4 |
|  679 | fdzdev                              |           4 |
|  680 | fei9747                             |           4 |
|  681 | RedTeamPentesting                   |           4 |
|  682 | underprotection                     |           4 |
|  683 | CharonDefalt                        |           4 |
|  684 | unrealjbr                           |           4 |
|  685 | rafaelbaldasso                      |           4 |
|  686 | CalfCrusher                         |           4 |
|  687 | varwara                             |           4 |
|  688 | freeFV                              |           4 |
|  689 | fu2x2000                            |           4 |
|  690 | huseyinstif                         |           4 |
|  691 | crowsec-edtech                      |           4 |
|  692 | GadaLuBau1337                       |           4 |
|  693 | cowsecurity                         |           4 |
|  694 | maldiohead                          |           4 |
|  695 | aeyesec                             |           4 |
|  696 | Lay0us1                             |           4 |
|  697 | T0X1Cx                              |           4 |
|  698 | airbus-cert                         |           4 |
|  699 | securelayer7                        |           4 |
|  700 | ajdumanhug                          |           4 |
|  701 | akr3ch                              |           4 |
|  702 | MobiusBinary                        |           4 |
|  703 | security-n                          |           4 |
|  704 | Symbolexe                           |           4 |
|  705 | ambionics                           |           4 |
|  706 | Kov404                              |           4 |
|  707 | oppsec                              |           4 |
|  708 | mekhalleh                           |           4 |
|  709 | angelopioamirante                   |           4 |
|  710 | Kirill89                            |           4 |
|  711 | KiPhuong                            |           4 |
|  712 | Sumitpathania03                     |           4 |
|  713 | antisecc                            |           4 |
|  714 | shadofren                           |           4 |
|  715 | maxpl0it                            |           4 |
|  716 | MrCl0wnLab                          |           4 |
